Prey,Primary_Component
PTBP1,4
PTBP2,4
PTBP3,12
PTCD3,3
PTDSS1,2
PTPN1,2
PTPN13,8
PTPN14,10
PTPN2,2
PTPN23,14
PTPN3,8
PUM1,12
PUM2,12
PUM3,6
PUS7,5
PWP1,6
PWP2,6
PYCR1,3
PYCR2,3
PYCRL,1
PYM1,1
QARS,10
QKI,4
QRSL1,3
QSER1,5
QTRT1,10
QTRT2,10
R3HDM1,12
R3HDM2,12
RAB29,2
RAB3GAP1,2
RAB3GAP2,2
RAB7A,2
RABGAP1,9
RABGAP1L,9
RABL3,2
RAD18,10
RAD54L2,7
RAE1,11
RAI1,5
RALY,4
RAPH1,1
RASSF8,8
RAVER1,4
RAVER2,4
RBBP6,9
RBM10,4
RBM11,5
RBM12,4
RBM14-RBM4,5
RBM17,9
RBM20,4
RBM22,9
RBM25,5
RBM26,11
RBM27,4
RBM28,6
RBM3,4
RBM33,4
RBM34,6
RBM4,4
RBM47,12
RBM5,5
RBM6,4
RBM7,11
RBM8A,1
RBMS1,12
RBMS2,12
RBMS3,12
RBMX,12
RBPMS,12
RC3H1,1
RC3H2,10
RCL1,6
RCOR3,5
RECQL5,13
REEP2,2
REEP4,2
RGPD1,11
RGPD6,11
RIBC1,1
RING1,5
RINT1,2
RIOK1,9
RNF20,5
RNF214,1
RNF219,10
RNF40,5
RNGTT,13
RNMT,4
RP9,11
RPA2,12
RPAP2,13
RPAP3,10
RPF1,6
RPF2,6
RPGRIP1L,7
RPL10A,6
RPL11,1
RPL23,11
RPL27,11
RPL30,6
RPL31,5
RPL7L1,6
RPLP0,6
RPN1,2
RPP25L,1
RPP40,11
RPRD1B,13
RPRD2,5
RPS10,1
RPS15A,11
RPS2,12
RPS3A,1
RPS6KA3,1
RPS6KA5,11
RPTOR,1
RRBP1,2
RRP1,6
RRP12,11
RRP15,11
RRP1B,6
RRP8,6
RRP9,6
RRS1,6
RSF1,13
RSL1D1,6
RTCB,1
RTEL1,1
RTF1,13
RTKN2,1
RTN4IP1,3
RUSC2,1
RUVBL1,14
RUVBL2,14
SALL1,5
SALL2,5
SAMD4A,7
SAMD4B,7
SAMD9,13
SAP18,11
SAR1A,2
SART3,9
SASS6,10
SCAF1,13
SCAF11,13
SCAF4,4
SCAF8,5
SCAMP3,12
SCAPER,1
SCD5,2
SCFD1,2
SCLT1,7
SCYL2,14
SDAD1,5
SDCCAG3,8
SDHA,3
SEC11A,2
SEC13,10
SEC16A,7
SEC22B,2
SEC23A,7
SEC23B,7
SEC23IP,10
SEC24A,7
SEC24B,7
SEC61B,13
SEC63,2
SECISBP2,1
SECISBP2L,5
SELENOS,2
SENP1,2
SENP2,2
SENP6,9
SERBP1,1
SET,5
SETD1A,13
SETD2,13
SETD5,13
SF1,4
SF3B1,9
SF3B3,9
SF3B6,9
SFPQ,4
SFXN1,12
SGPL1,2
SH3RF1,1
SHKBP1,1
SHMT1,8
SHMT2,3
SHROOM1,8
SHROOM3,8
SIK2,7
SIPA1L1,8
SIPA1L2,8
SIPA1L3,8
SIRT1,5
SIRT2,1
SIX4,5
SKIV2L,10
SKIV2L2,11
SLC12A2,2
SLC25A4,12
SLC25A5,12
SLC25A6,12
SLC30A9,3
SLC33A1,2
SLC4A1AP,11
SLC4A7,2
SLC6A15,7
SLC9A1,2
SLIRP,3
SLU7,5
SMAP1,14
SMAP2,12
SMARCAD1,12
SMCHD1,13
SMCR8,2
SMG1,1
SMG5,5
SMG6,1
SMG7,1
SMG8,1
SMG9,1
SMIM12,2
SMN1,9
SMPD4,2
SNAP47,2
SND1,1
SNRNP200,9
SNRNP40,9
SNRNP70,9
SNRPA,9
SNRPA1,9
SNRPB,9
SNRPB2,9
SNRPC,9
SNRPD1,9
SNRPD2,9
SNRPE,9
SNRPF,9
SNRPG,9
SNW1,9
SNX18,1
SNX19,2
SNX6,1
SOAT1,2
SORBS1,8
SORBS2,8
SPAG5,7
SPATA2,7
SPATA5L1,8
SPATS2,6
SPATS2L,1
SPCS2,2
SPCS3,2
SPEN,13
SPG11,1
SPNS1,10
SPOP,1
SPRY4,7
SPTBN1,1
SQSTM1,10
SREK1,4
SRP72,6
SRPK2,6
SRPRA,2
SRPRB,2
SRRM1,6
SRRM2,12
SRRT,13
SRSF1,11
SRSF11,4
SRSF6,13
SRSF9,4
SSBP1,3
SSR1,2
SSX2IP,10
ST13,1
ST7,10
STAU1,10
STAU2,6
STBD1,2
STEAP3,7
STIL,8
STIM1,2
STIM2,2
STIP1,10
STRAP,12
STRBP,4
STRIP1,1
STRN3,10
STRN4,10
STT3A,10
STT3B,2
STUB1,8
STX18,2
STX5,2
STXBP4,7
SUCLA2,3
SUCLG1,3
SUCO,2
SUFU,1
SUGP1,4
SUGT1,10
SUN1,2
SUN2,2
SUPT4H1,13
SUPT5H,13
SUPT6H,13
SUPV3L1,3
SURF6,11
SYF2,9
SYMPK,5
SYNCRIP,12
SYNE2,2
SYNE3,2
SYNJ1,14
SYNM,8
SYNRG,14
SZRD1,14
TAB1,8
TAB2,8
TAB3,12
TACC1,2
TACO1,3
TAF15,4
TANK,14
TAPT1,2
TARBP2,6
TARDBP,4
TARS2,8
TBC1D20,2
TBC1D2B,8
TBC1D31,1
TBC1D5,1
TBK1,7
TBKBP1,7
TBL2,2
TBL3,6
TCERG1,4
TCF20,5
TCF7L2,5
TCHP,7
TCP1,14
TDRD3,1
TDRD7,12
TELO2,7
TET1,5
TEX10,9
TEX2,2
TEX264,2
TEX9,1
TFCP2,11
TFG,7
THEM4,3
THEM6,2
THOC2,11
THOC3,11
THOC5,11
THOC6,11
THOC7,11
THUMPD3,3
TIAL1,12
TIMM44,3
TLE1,5
TLE3,5
TLE4,5
TLK2,13
TM9SF3,12
TMCO1,2
TMEM109,2
TMEM131,10
TMEM160,12
TMEM199,2
TMEM2,2
TMEM201,2
TMEM209,2
TMEM214,2
TMEM38B,2
TMEM57,2
TMEM62,7
TMEM9,2
TMPO,2
TMX1,2
TMX4,2
TNIK,10
TNIP1,7
TNIP2,7
TNKS1BP1,7
TNPO1,7
TNPO2,7
TNRC6A,7
TNRC6B,7
TNRC6C,7
TOB2,10
TOP2B,13
TOP3B,1
TOPBP1,13
TOR1AIP1,2
TOR1AIP2,2
TP53BP2,8
TPGS1,10
TPM3,1
TPM4,1
TRA2A,12
TRA2B,12
