Chi2_30,F_classif_30,Mutual_Info_30,Lasso_30,Ridge_30,Elastic_Net_30,Random_Forest_30,Gradient_Boosting_30,XGBoost_30,Neural_Network_30,GENBAIT_30,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_90,F_classif_90,Mutual_Info_90,Lasso_90,Ridge_90,Elastic_Net_90,Random_Forest_90,Gradient_Boosting_90,XGBoost_90,Neural_Network_90,GENBAIT_90
,,,,,,,,,,,,,,,,,,,,,,EBAG9,GJA1,RAB5A,ACTB,DERL1,POLR2C,FLOT1,DHFRL1,RAB3B_Nterm,EBAG9,RAB5C
,,,,,,,,,,,,,,,,,,,,,,FLOT1,CENPA,NIFK,PARP1,MAPRE1,FLOT1,NUP50,POLR1E,SYNE3_Cterm,HSD3B7,RAB9A
,,,,,,,,,,,,,,,,,,,,,,CEP135,ARF6,CKAP4,CALR3,EIF6,PEX3,RAB2A,MAPRE1,ARF6,AKAP1,RHOB
,,,,,,,,,,,,,,,,,,,,,,PHB2,EBAG9,CALR3,POLR1E,LYN,AARS2,MAPRE1,AKAP1,RAB5C,PDIA4,RPL31
,,,,,,,,,,,,,,,,,,,,,,RAB35,ZNF330_target,STIM1,PARD3,CTNNB1,METTL7A,SSR1,RPS6,POLR1E,APEX1,RPN1
,,,,,,,,,,,,,,,,,,,,,,ATP2A1,SYNE3_Nterm,MARCKS_target,NCBP3,POLR1E,AIFM1,CAV1,NUP50,ZFPL1,LRRC59_Nterm,RPS20
,,,,,,,,,,,,,,,,,,,,,,ASF1A,LAMP1,EBAG9,RPS20,TRIM36_Nterm,DERL1,LAMP3,ZFPL1,ELOVL5,NUP50,RPS6
,,,,,,,,,,,,,,,,,,,,,,ARF6,RAB4A,LRRC59_Nterm,CTNNB1,CEP135,PDIA4,PFN1,PARP1,PFN1,DHX8,SASS6
,,,,,,,,,,,,,,,,,,,,,,RAB4A,CAV1,FLOT1,ZNF330_target,ATP2A1,RPS24,AGPS,RPN1,RAB4A,VASP,SEC61B_Cterm
,,,,,,,,,,,,,,,,,,,,,,LAMP1,BCAP31,STX6,KRT19,AP2B1,RPS20,ANAPC2,ATP2A1,BCAP31,NIFK,SEC61B_Nterm
,,,,,,,,,,,,,,,,,,,,,,CALU,COX4I1,RPS6,GJA1,CAMSAP2,UTP4,PRPF8,LAMTOR1,GJD3,EMD,SEC62
,,,,,,,,,,,,,,,,,,,,,,NDC80,CEP135,LNPK_Nterm,PFN1,UTP4,RAB5A,POLR1E,TUBB,PEX3,TRIM36_Nterm,SERBP1
