Chi2_40,F_classif_40,Mutual_Info_40,Lasso_40,Ridge_40,Elastic_Net_40,Random_Forest_40,Gradient_Boosting_40,XGBoost_40,Neural_Network_40,GENBAIT_40,Chi2_60,F_classif_60,Mutual_Info_60,Lasso_60,Ridge_60,Elastic_Net_60,Random_Forest_60,Gradient_Boosting_60,XGBoost_60,Neural_Network_60,GENBAIT_60,Chi2_80,F_classif_80,Mutual_Info_80,Lasso_80,Ridge_80,Elastic_Net_80,Random_Forest_80,Gradient_Boosting_80,XGBoost_80,Neural_Network_80,GENBAIT_80
NIFK,DERL1,ELOVL5,HNRNPA1,ACTB,RPL31,COX8A_target,MAPRE3,ACTR1A,RAB35,SEC62,NIFK,DERL1,ELOVL5,HNRNPA1,ACTB,RPL31,COX8A_target,MAPRE3,ACTR1A,SEC61B_Nterm,LAMP2,NIFK,DERL1,ELOVL5,HNRNPA1,ACTB,RPL31,COX8A_target,MAPRE3,ACTR1A,RPN1,KRAS_target
HSD17B11,CKAP4,SYNE3_Nterm,LRRC59_Cterm,AKAP1,RHOB,SEC61B_Nterm,METTL7A,Pxn,CEP135,SERBP1,HSD17B11,CKAP4,SYNE3_Nterm,LRRC59_Cterm,AKAP1,RHOB,SEC61B_Nterm,METTL7A,Pxn,EBAG9,LAMP3,HSD17B11,CKAP4,SYNE3_Nterm,LRRC59_Cterm,AKAP1,RHOB,SEC61B_Nterm,METTL7A,Pxn,RAB5A,KRT19
RHOB,SERBP1,METTL7A,COX8A_target,RPN1,MAPRE3,SEC62,POLR2C,POLR2C,RAB5A,SFXN1,RHOB,SERBP1,METTL7A,COX8A_target,RPN1,MAPRE3,SEC62,POLR2C,POLR2C,SEC61B_Cterm,LAMTOR1_target_peptide,RHOB,SERBP1,METTL7A,COX8A_target,RPN1,MAPRE3,SEC62,POLR2C,POLR2C,ATP2A1,LAMP1
TRAP1,DDX23,LAMP3,LAMP1,LAMTOR1,KRAS_Q61H,METTL7A,CENPA,PRPF8,LYN,SSR1,TRAP1,DDX23,LAMP3,LAMP1,LAMTOR1,KRAS_Q61H,METTL7A,CENPA,PRPF8,RAB5A,LRRC59_Cterm,TRAP1,DDX23,LAMP3,LAMP1,LAMTOR1,KRAS_Q61H,METTL7A,CENPA,PRPF8,LYN,LAMP2
RPS6,RPS6,RPN2,RPS24,ARF6,LAMTOR1,ASF1A,DDX23,EBAG9,RPN1,STX6,RPS6,RPS6,RPN2,RPS24,ARF6,LAMTOR1,ASF1A,DDX23,EBAG9,RPN1,LRRC59_Nterm,RPS6,RPS6,RPN2,RPS24,ARF6,LAMTOR1,ASF1A,DDX23,EBAG9,LAMP3,LAMP3
CBX3,RPN2,LYN,RPS6,POLR2C,ARF6,POLR2C,GJD3,NPM1,LRRC59_Cterm,SYNE3_Cterm,CBX3,RPN2,LYN,RPS6,POLR2C,ARF6,POLR2C,GJD3,NPM1,RAB35,MAPRE3,CBX3,RPN2,LYN,RPS6,POLR2C,ARF6,POLR2C,GJD3,NPM1,RAB35,LAMTOR1_target_peptide
SYNE3_Nterm,LRRC59_Nterm,HSD3B7,ANAPC2,COX8A_target,PEX3,CENPA,ANAPC2,CYP2C1_sigseq,ATP2A1,SYNE3_Nterm,SYNE3_Nterm,LRRC59_Nterm,HSD3B7,ANAPC2,COX8A_target,PEX3,CENPA,ANAPC2,CYP2C1_sigseq,LRRC59_Cterm,MARCKS,SYNE3_Nterm,LRRC59_Nterm,HSD3B7,ANAPC2,COX8A_target,PEX3,CENPA,ANAPC2,CYP2C1_sigseq,ARF6,LCK
NDC80,LNPK_Nterm,RPN1,NIFK,LAMP2,AKAP1,CD3EAP,RAB9A,AGPS,EBAG9,TERF2IP,NDC80,LNPK_Nterm,RPN1,NIFK,LAMP2,AKAP1,CD3EAP,RAB9A,AGPS,RAB4A,METTL7A,NDC80,LNPK_Nterm,RPN1,NIFK,LAMP2,AKAP1,CD3EAP,RAB9A,AGPS,ACTB,LRRC59_Cterm
NOP56,DHX8,STX7,LAMTOR1,DCTN1,CAV1,MAPRE3,LYN,AARS2,ARF6,TRIM36_Nterm,NOP56,DHX8,STX7,LAMTOR1,DCTN1,CAV1,MAPRE3,LYN,AARS2,ACTB,NDC80,NOP56,DHX8,STX7,LAMTOR1,DCTN1,CAV1,MAPRE3,LYN,AARS2,LRRC59_Cterm,LRRC59_Nterm
SSR1,PCM1,C11orf52,KRAS_target,RAB9A,PARP1,RPS24,SEC61B_Cterm,CAMSAP2,ASF1A,ZNF330_target,SSR1,PCM1,C11orf52,KRAS_target,RAB9A,PARP1,RPS24,SEC61B_Cterm,CAMSAP2,PCM1,NIFK,SSR1,PCM1,C11orf52,KRAS_target,RAB9A,PARP1,RPS24,SEC61B_Cterm,CAMSAP2,GJD3,LYN
